lat,lng,district_id
19.875,78.375,32001
19.8125,78.375,32001
19.8125,78.4375,32001
19.8125,78.5,32001
19.8125,78.5625,32001
19.75,78.375,32001
19.75,78.4375,32001
19.75,78.5,32001
19.75,78.5625,32001
19.75,78.625,32001
19.75,78.6875,32001
19.75,78.75,32001
19.75,78.8125,32001
19.6875,78.3125,32001
19.6875,78.375,32001
19.6875,78.4375,32001
19.6875,78.5,32001
19.6875,78.5625,32001
19.6875,78.625,32001
19.6875,78.6875,32001
19.6875,78.75,32001
19.6875,78.8125,32001
19.625,78.3125,32001
19.625,78.375,32001
19.625,78.4375,32001
19.625,78.5,32001
19.625,78.5625,32001
19.625,78.625,32001
19.625,78.6875,32001
19.625,78.75,32001
19.625,78.8125,32001
19.625,78.875,32001
19.625,78.9375,32001
19.5625,78.3125,32001
19.5625,78.375,32001
19.5625,78.4375,32001
19.5625,78.5,32001
19.5625,78.5625,32001
19.5625,78.625,32001
19.5625,78.6875,32001
19.5625,78.75,32001
19.5625,78.8125,32001
19.5625,78.875,32001
19.5625,78.9375,32001
19.5,78.3125,32001
19.5,78.375,32001
19.5,78.4375,32001
19.5,78.5,32001
19.5,78.5625,32001
19.5,78.625,32001
19.5,78.6875,32001
19.5,78.75,32001
19.5,78.8125,32001
19.5,78.875,32001
19.4375,78.25,32001
19.4375,78.3125,32001
19.4375,78.375,32001
19.4375,78.4375,32001
19.4375,78.5,32001
19.4375,78.5625,32001
19.4375,78.625,32001
19.4375,78.6875,32001
19.4375,78.75,32001
19.4375,78.8125,32001
19.375,78.25,32001
19.375,78.3125,32001
19.375,78.375,32001
19.375,78.4375,32001
19.375,78.5,32001
19.375,78.5625,32001
19.375,78.625,32001
19.375,78.6875,32001
19.375,78.75,32001
19.375,78.8125,32001
19.3125,78.25,32001
19.3125,78.3125,32001
19.3125,78.375,32001
19.3125,78.4375,32001
19.3125,78.5,32001
19.3125,78.5625,32001
19.3125,78.625,32001
19.3125,78.6875,32001
19.3125,78.75,32001
19.3125,78.8125,32001
19.25,78.3125,32001
19.25,78.375,32001
19.25,78.4375,32001
19.25,78.5,32001
17.4375,78.4375,32002
17.4375,78.5,32002
17.375,78.4375,32002
17.375,78.5,32002
19.0625,78.875,32003
19.0625,78.9375,32003
19.0625,79.0,32003
19.0,78.6875,32003
19.0,78.75,32003
19.0,78.8125,32003
19.0,78.875,32003
19.0,78.9375,32003
19.0,79.0,32003
19.0,79.0625,32003
18.9375,78.5625,32003
18.9375,78.625,32003
18.9375,78.6875,32003
18.9375,78.75,32003
18.9375,78.8125,32003
18.9375,78.875,32003
18.9375,78.9375,32003
18.9375,79.0,32003
18.9375,79.0625,32003
18.875,78.5625,32003
18.875,78.625,32003
18.875,78.6875,32003
18.875,78.75,32003
18.875,78.8125,32003
18.875,78.875,32003
18.875,78.9375,32003
18.875,79.0,32003
18.875,79.0625,32003
18.875,79.125,32003
18.8125,78.5625,32003
18.8125,78.625,32003
18.8125,78.6875,32003
18.8125,78.75,32003
18.8125,78.8125,32003
18.8125,78.875,32003
18.8125,78.9375,32003
18.8125,79.0,32003
18.8125,79.0625,32003
18.8125,79.125,32003
18.8125,79.1875,32003
18.8125,79.25,32003
18.75,78.625,32003
18.75,78.6875,32003
18.75,78.75,32003
18.75,78.8125,32003
18.75,78.875,32003
18.75,78.9375,32003
18.75,79.0,32003
18.75,79.0625,32003
18.75,79.125,32003
18.6875,78.625,32003
18.6875,78.6875,32003
18.6875,78.75,32003
18.6875,78.8125,32003
18.6875,78.875,32003
18.6875,78.9375,32003
18.6875,79.0,32003
18.6875,79.0625,32003
18.6875,79.125,32003
18.625,78.75,32003
18.625,78.8125,32003
18.625,78.875,32003
18.625,78.9375,32003
17.9375,79.1875,32004
17.9375,79.25,32004
17.875,79.125,32004
17.875,79.1875,32004
17.875,79.25,32004
17.875,79.3125,32004
17.875,79.375,32004
17.875,79.4375,32004
17.8125,78.9375,32004
17.8125,79.0,32004
17.8125,79.0625,32004
17.8125,79.125,32004
17.8125,79.1875,32004
17.8125,79.25,32004
17.8125,79.3125,32004
17.8125,79.375,32004
17.8125,79.4375,32004
17.8125,79.5,32004
17.75,79.0625,32004
17.75,79.125,32004
17.75,79.1875,32004
17.75,79.25,32004
17.75,79.3125,32004
17.75,79.375,32004
17.75,79.4375,32004
17.75,79.5,32004
17.6875,79.125,32004
17.6875,79.1875,32004
17.6875,79.25,32004
17.6875,79.3125,32004
17.6875,79.375,32004
17.6875,79.4375,32004
17.625,79.1875,32004
17.625,79.25,32004
17.625,79.3125,32004
17.625,79.375,32004
17.625,79.4375,32004
17.625,79.5,32004
17.625,79.5625,32004
17.5625,79.1875,32004
17.5625,79.25,32004
17.5625,79.3125,32004
17.5625,79.375,32004
17.5625,79.4375,32004
17.5625,79.5,32004
17.5,79.25,32004
17.5,79.3125,32004
17.5,79.375,32004
18.625,80.4375,32005
18.5625,80.25,32005
18.5625,80.3125,32005
18.5625,80.375,32005
18.5625,80.4375,32005
18.5625,80.5,32005
18.5625,80.5625,32005
18.5,80.25,32005
18.5,80.3125,32005
18.5,80.375,32005
18.5,80.4375,32005
18.5,80.5,32005
18.5,80.5625,32005
18.5,80.625,32005
18.4375,80.25,32005
18.4375,80.3125,32005
18.4375,80.375,32005
18.4375,80.4375,32005
18.4375,80.5,32005
18.4375,80.5625,32005
18.4375,80.625,32005
