lat,lng,district_id
29.0625,78.125,34001
29.0,78.125,34001
29.0,78.1875,34001
29.0,78.25,34001
29.0,78.3125,34001
29.0,78.375,34001
29.0,78.4375,34001
29.0,78.5,34001
28.9375,78.125,34001
28.9375,78.1875,34001
28.9375,78.25,34001
28.9375,78.3125,34001
28.9375,78.375,34001
28.9375,78.4375,34001
28.9375,78.5,34001
28.9375,78.5625,34001
28.875,78.125,34001
28.875,78.1875,34001
28.875,78.25,34001
28.875,78.3125,34001
28.875,78.375,34001
28.875,78.4375,34001
28.875,78.5,34001
28.875,78.5625,34001
28.875,78.625,34001
28.8125,78.1875,34001
28.8125,78.25,34001
28.8125,78.3125,34001
28.8125,78.375,34001
28.8125,78.4375,34001
28.8125,78.5,34001
28.8125,78.5625,34001
28.8125,78.625,34001
28.75,78.1875,34001
28.75,78.25,34001
28.75,78.3125,34001
28.75,78.375,34001
28.6875,78.1875,34001
28.6875,78.25,34001
28.6875,78.3125,34001
28.6875,78.375,34001
28.625,78.25,34001
28.625,78.3125,34001
28.625,78.375,34001
28.5625,78.25,34001
28.5625,78.3125,34001
28.5625,78.375,34001
28.5,78.25,34001
28.5,78.3125,34001
28.5,78.375,34001
28.875,78.0625,34002
28.8125,77.875,34002
28.8125,77.9375,34002
28.8125,78.0,34002
28.8125,78.0625,34002
28.8125,78.125,34002
28.75,77.75,34002
28.75,77.8125,34002
28.75,77.875,34002
28.75,77.9375,34002
28.75,78.0,34002
28.75,78.0625,34002
28.75,78.125,34002
28.6875,77.5625,34002
28.6875,77.625,34002
28.6875,77.6875,34002
28.6875,77.75,34002
28.6875,77.8125,34002
28.6875,77.875,34002
28.6875,77.9375,34002
28.6875,78.0625,34002
28.6875,78.125,34002
28.625,77.625,34002
28.625,77.6875,34002
28.625,77.75,34002
28.625,77.8125,34002
28.5625,77.6875,34002
28.5625,77.75,34002
28.875,79.4375,34003
28.8125,79.4375,34003
28.8125,79.5,34003
28.8125,79.5625,34003
28.8125,79.625,34003
28.75,79.375,34003
28.75,79.4375,34003
28.75,79.5,34003
28.75,79.5625,34003
28.75,79.625,34003
28.75,79.6875,34003
28.6875,79.3125,34003
28.6875,79.375,34003
28.6875,79.4375,34003
28.6875,79.5,34003
28.6875,79.5625,34003
28.6875,79.625,34003
28.625,79.25,34003
28.625,79.3125,34003
28.625,79.375,34003
28.625,79.4375,34003
28.625,79.5,34003
28.625,79.5625,34003
28.625,79.625,34003
28.5625,79.1875,34003
28.5625,79.25,34003
28.5625,79.3125,34003
28.5625,79.375,34003
28.5625,79.4375,34003
28.5625,79.5,34003
28.5625,79.5625,34003
28.5625,79.625,34003
28.5625,79.6875,34003
28.5,79.125,34003
28.5,79.1875,34003
28.5,79.25,34003
28.5,79.3125,34003
28.5,79.375,34003
28.5,79.4375,34003
28.5,79.5,34003
28.5,79.5625,34003
28.5,79.625,34003
28.5,79.6875,34003
28.5,79.75,34003
28.4375,79.0,34003
28.4375,79.0625,34003
28.4375,79.125,34003
28.4375,79.1875,34003
28.4375,79.25,34003
28.4375,79.3125,34003
28.4375,79.375,34003
28.4375,79.4375,34003
28.4375,79.5,34003
28.4375,79.5625,34003
28.4375,79.625,34003
28.4375,79.6875,34003
28.4375,79.75,34003
28.375,79.0625,34003
28.375,79.125,34003
28.375,79.1875,34003
28.375,79.25,34003
28.375,79.3125,34003
28.375,79.375,34003
28.375,79.4375,34003
28.375,79.5,34003
28.375,79.5625,34003
28.375,79.625,34003
28.375,79.6875,34003
28.3125,79.125,34003
28.3125,79.1875,34003
28.3125,79.25,34003
28.3125,79.3125,34003
28.3125,79.375,34003
28.3125,79.4375,34003
28.3125,79.5,34003
28.3125,79.5625,34003
28.3125,79.625,34003
28.3125,79.6875,34003
28.25,79.125,34003
28.25,79.1875,34003
28.25,79.25,34003
28.25,79.3125,34003
28.25,79.375,34003
28.25,79.4375,34003
28.25,79.5,34003
28.25,79.5625,34003
28.25,79.625,34003
28.25,79.6875,34003
28.1875,79.1875,34003
28.1875,79.25,34003
28.1875,79.3125,34003
28.1875,79.375,34003
28.1875,79.4375,34003
28.1875,79.5,34003
28.1875,79.5625,34003
28.1875,79.625,34003
28.125,79.5,34003
28.125,79.5625,34003
28.0625,79.5625,34003
28.875,79.8125,34004
28.8125,79.6875,34004
28.8125,79.75,34004
28.8125,79.8125,34004
28.8125,79.875,34004
28.8125,80.0625,34004
28.8125,80.125,34004
28.75,79.75,34004
28.75,79.8125,34004
28.75,79.875,34004
28.75,80.0625,34004
28.75,80.125,34004
28.75,80.1875,34004
28.6875,79.6875,34004
28.6875,79.75,34004
28.6875,79.8125,34004
28.6875,79.875,34004
28.6875,79.9375,34004
28.6875,80.0,34004
28.6875,80.0625,34004
28.6875,80.125,34004
28.6875,80.1875,34004
28.6875,80.25,34004
28.625,79.6875,34004
28.625,79.75,34004
28.625,79.8125,34004
28.625,79.875,34004
28.625,79.9375,34004
28.625,80.0,34004
28.625,80.0625,34004
28.625,80.125,34004
28.625,80.1875,34004
28.625,80.25,34004
28.625,80.3125,34004
28.5625,79.75,34004
28.5625,79.8125,34004
28.5625,79.875,34004
28.5625,79.9375,34004
28.5625,80.0,34004
28.5625,80.0625,34004
28.5625,80.125,34004
28.5625,80.1875,34004
28.5625,80.25,34004
28.5625,80.3125,34004
28.5625,80.375,34004
28.5,79.8125,34004
28.5,79.875,34004
28.5,79.9375,34004
28.5,80.0,34004
28.5,80.0625,34004
28.5,80.125,34004
28.5,80.1875,34004
28.5,80.25,34004
28.5,80.3125,34004
28.5,80.375,34004
28.4375,79.8125,34004
28.4375,79.875,34004
28.4375,79.9375,34004
28.4375,80.0,34004
28.4375,80.0625,34004
28.4375,80.125,34004
28.4375,80.1875,34004
28.4375,80.25,34004
28.4375,80.3125,34004
28.375,79.75,34004
28.375,79.8125,34004
28.375,79.875,34004
28.375,79.9375,34004
28.375,80.0,34004
28.375,80.0625,34004
28.375,80.125,34004
28.375,80.1875,34004
28.375,80.25,34004
28.375,80.3125,34004
28.3125,79.75,34004
28.3125,79.8125,34004
28.3125,79.875,34004
28.3125,79.9375,34004
28.3125,80.25,34004
28.25,79.75,34004
28.25,79.8125,34004
28.25,79.875,34004
28.25,79.9375,34004
28.1875,79.8125,34004
28.1875,79.9375,34004
